,0,1, 
7059,DSM 25944,['381'],Escherichia coli
7060,DSM 10533,"['11', '104', '215', '339', '514', '535', '693', 'J13', 'J14']",Lactobacillus johnsonii
7061,DSM 17666,['514'],Glaciecola sp.
7062,DSM 1665,"['1', '104b', '129', '186', '220', '311c', '514', '792b', '874', 'J12', 'J25', 'J30', 'J440', 'J526']",Candida albicans
7063,DSM 920,"['1', '65', 'J22', 'J58', 'J66']",Streptomyces sp.
7064,DSM 30696,['220'],Stenotrophomonas maltophilia
7065,DSM 40473,"['65', '84', 'J42', 'J43', 'J45', 'J58']",Streptomyces abikoensis
7066,DSM 52288,['9'],Myxococcus virescens
7067,DSM 62744,['90'],Tiarosporella phaseolina
7068,DSM 2326,"['104b', '110', '111', '403', '428', '514', '641', '830', '1033', 'J118', 'J173', 'J896']",Beijerinckia mobilis
7069,DSM 21300,['830'],Rhodanobacter umsongensis
7070,DSM 15055,['1175'],Alkaliflexus imshenetskii
7071,DSM 112690,['90'],Phoma herbarum
7072,DSM 51101,['9'],Corallococcus coralloides
7073,DSM 18231,"['514', '535', 'J118']",Pseudomonas xanthomarina
7074,DSM 112337,['693'],Campylobacter pinnipediorum
7075,DSM 3641,['1'],Priestia megaterium
7076,DSM 16375,"['53', '993']",Marinococcus halotolerans
7077,DSM 45180,"['65', '553', 'J57']",Amycolatopsis ultiminotia
7078,DSM 21947,"['830', 'J443']",Rhodoglobus vestalii
7079,DSM 53065,['9'],Nannocystis exedens
7080,DSM 16465,['514'],Pontibacillus marinus
7081,DSM 16950,['514'],Aliiroseovarius crassostreae
7082,DSM 14007,['965'],Thermoanaerobacter kreatinophilus
7083,DSM 41607,['65'],Streptomyces somaliensis
7084,DSM 25793,"['104b', 'J684']",Caloramator mitchellensis
7085,DSM 26639,['830'],Massilia flava
7086,DSM 42053,['65'],Streptomyces sp.
7087,DSM 27138,"['1509', 'J767']",Symbiobacterium terraclitae
7088,DSM 18318,['220'],Geobacillus zalihae
7089,DSM 2264,"['1', '10', '90', '220', '535', '693', 'J22', 'J247']",Penicillium aurantiogriseum
7090,DSM 17849,['92'],Pseudokineococcus sp.
7091,DSM 46462,"['65', '84']",Streptomyces sp.
7092,DSM 43427,"['65', '83']",Micromonospora sp.
7093,DSM 100616,['92'],Staphylococcus warneri
7094,DSM 27098,"['830', '1489']",Mizugakiibacter sediminis
7095,DSM 16753,['220'],Ureibacillus suwonensis
7096,DSM 29920,['1124'],Edaphobacter dinghuensis
7097,DSM 104068,['1'],Bacillus thuringiensis
7098,DSM 51516,['9'],Corallococcus coralloides
7099,DSM 18476,['195c'],Oleidesulfovibrio alaskensis
7100,DSM 30745,['220'],Micrococcus luteus
7101,DSM 44789,"['65', '84', '252', '987', 'J43']",Kitasatospora terrestris
7102,DSM 1432,"['92', '453', '514', '535', '693', '994', 'J118']",Rhodococcus sp.
7103,DSM 6344,"['220', '462']",Rhodococcus erythropolis
7104,DSM 111790,['11'],Lacticaseibacillus paracasei subsp. paracasei
7105,DSM 11556,"['1', '7', '11b', '120b', '436', '734', 'J346']",Giesbergeria sinuosa
7106,DSM 15742,"['92', '693']",Dolosicoccus paucivorans
7107,DSM 3722,['119'],Methanobacterium formicicum
7108,DSM 14371,"['514', 'J182']",Oceanobacillus iheyensis
7109,DSM 51786,['9'],Corallococcus coralloides
7110,DSM 22413,['736'],Luteimicrobium subarcticum
7111,DSM 19033,['830'],Pedobacter hartonius
7112,DSM 6875,['1'],Methylobacillus flagellatus
7113,DSM 16058,"['641', 'J541']",Desulfotruncus alcoholivorax
7114,DSM 17578,['535'],Citrobacter youngae
7115,DSM 2769,"['1', '11', '381', '434', '514', '535', '545', '1250', 'J998']",Escherichia coli
7116,DSM 20673,"['92', '693']",Staphylococcus arlettae
7117,DSM 113002,"['693', '1203a']",Faecalibacterium hominis
7118,DSM 9224,['90'],Oudemansiella platyphylla
7119,DSM 52243,['9'],Myxococcus virescens
7120,DSM 104630,"['31', '220']",Bacillus alkalicellulosilyticus
7121,DSM 52019,['9'],Myxococcus fulvus
7122,DSM 102122,"['65', '535']",Jiangella mangrovi
7123,DSM 24641,['92'],Kurthia senegalensis
7124,DSM 52341,['9'],Myxococcus virescens
7125,DSM 103556,"['255', 'J965']",Haloimpatiens lingqiaonensis
7126,DSM 24526,['31'],Geomicrobium sediminis
7127,DSM 8895,['628'],Prosthecomicrobium sp.
7128,DSM 22505,['830'],Aurantimonas sp.
7129,DSM 23297,['535'],Chromobacterium aquaticum
7130,DSM 70169,['393'],Pichia terricola
7131,DSM 24628,['1296'],Aetherobacter rufus
7132,DSM 2016,"['53', '92', '129', '535', '535a', '693', 'J22', 'J26', 'J43', 'J156']",Penicillium aurantiogriseum
7133,DSM 62070,['129'],Aspergillus neoindicus
7134,DSM 27506,['1520'],Halopiger djelfimassiliensis
7135,DSM 101126,['381'],Escherichia coli
7136,DSM 41538,['65'],Streptomyces olivaceus
7137,DSM 30043,['220'],Citrobacter sp.
7138,DSM 22217,['830c'],Chitinibacter alvei
7139,DSM 11719,['220'],Bacillus sp.
7140,DSM 1893,"['1', '11', '58', '90', '514', 'J13', 'J118']",Psilocybe sempervivae
7141,DSM 884,['129'],Claviceps paspali
7142,DSM 16316,"['514', '1174']",Nitrincola lacisaponensis
7143,DSM 18925,['830'],Massilia brevitalea
7144,DSM 112927,['381'],Phage (phagum)
7145,DSM 3153,['90'],Verticillium chlamydosporium
7146,DSM 2029,"['11', '53', '92', '173', '231', '535', '693', 'J22', 'J26', 'J475']",Oceanispirochaeta litoralis
7147,DSM 101999,"['65', '84', 'J43']",Kitasatospora cheerisanensis
7148,DSM 24222,['1a'],Erwinia typographi
7149,DSM 45978,['553'],Nocardia casuarinae
7150,DSM 25235,['1341'],Methyloversatilis universalis
7151,DSM 24880,['1352'],Fuchsiella alkaliacetigena
7152,DSM 100206,"['65', '535', '553', '714', 'J346']",Modestobacter lapidis
7153,DSM 100301,['1'],Rhizobium paknamense
7154,DSM 52301,['9'],Myxococcus virescens
7155,DSM 6629,"['11', 'J13']",Lactobacillus intestinalis
7156,DSM 53356,['9'],Sorangium cellulosum
7157,DSM 100901,['830'],Sphingobium xanthum
7158,DSM 52921,['9'],Melittangium lichenicola
7159,DSM 6451,"['463', '464']",Aminobacter aminovorans
7160,DSM 43069,"['65', '82']",Nocardia sp.
7161,DSM 27845,['1'],Priestia taiwanensis
7162,DSM 51900,['9'],Corallococcus exiguus
7163,DSM 2521,"['31', '92', '371', '514', '535', '585', '830', '1122a', 'J118', 'J181', 'J306']",Halalkalibacter wakoensis
7164,DSM 499,"['1', '90', '381']",Escherichia coli
7165,DSM 45277,"['65', '252', '535', '553']",Nocardiopsis sinuspersici
7166,DSM 105527,['65'],Pseudonocardia sp.
7167,DSM 10774,['381'],Escherichia coli
7168,DSM 15729,['899'],Caldanaerobacter subterraneus
7169,DSM 63538,['129'],Westerdykella ornata
7170,DSM 22131,"['904', 'J573']",Clostridiisalibacter paucivorans
7171,DSM 51074,['9'],Corallococcus coralloides
7172,DSM 11121,"['92', '429', '693', '804']",Haemophilus influenzae
7173,DSM 24544,['514'],unclassified bacterium
7174,DSM 102635,['830'],Methylobacterium sp.
7175,DSM 9219,"['678', 'J78']",Thermoclostridium stercorarium subsp. leptospartum
7176,DSM 6376,"['220', '461c']",Pseudomonas umsongensis
7177,DSM 102004,"['65', '84']",Streptomyces graminisoli
7178,DSM 7189,"['1', '457']",Pseudomonas putida
7179,DSM 103600,"['129', '186']",Sugiyamaella mastotermitis
7180,DSM 45764,"['65', '535', '830', '987']",Modestobacter roseus
7181,DSM 20401,['53'],Clavibacter nebraskensis
7182,DSM 5235,"['9', '98']",Mesorhizobium sp.
7183,DSM 16235,['90'],Fusarium solani
7184,DSM 30686,['220'],Stenotrophomonas maltophilia
7185,DSM 102378,['220'],Bordetella sp.
7186,DSM 115217,"['92', '693']",Escherichia coli
7187,DSM 3515,['310'],Ganoderma lucidum
7188,DSM 106693,['1076b'],Mycoplasma sp.
7189,DSM 1565,"['78', '162', '693', '878', '987']",Hyphomicrobium facile
7190,DSM 110914,"['215', '693']",Eggerthella lenta
7191,DSM 100345,"['830', 'J346']",Novosphingobium chloroacetimidivorans
7192,DSM 25431,"['92', '693']",Enterococcus olivae
7193,DSM 45674,"['65', '553', 'J61']",Micromonospora trujilloniae
7194,DSM 26513,"['90', '129']",Leohumicola sp.
7195,DSM 5387,['104d'],Maledivibacter halophilus
7196,DSM 52853,['9'],Archangium violaceum
7197,DSM 5203,"['9', '90']",Antrodia serialis
7198,DSM 6174,"['1', '693']",Alcaligenes faecalis subsp. faecalis
7199,DSM 9406,['220'],Kluyvera intermedia
7200,DSM 1718,"['111', '311c', '514', 'J480']",Beijerinckia doebereinerae
7201,DSM 2593,"['78', '92', '110', '119', '120a', '514', '535', '693', '736', '830', 'J14', 'J28', 'J242', 'J346']",Eubacterium limosum
7202,DSM 21763,['514'],Marinospirillum insulare
7203,DSM 11690,"['1', 'J22']",Sphingobacterium faecium
7204,DSM 329,"['1', '340', '693', 'J14', 'J459']",Paenibacillus chibensis
7205,DSM 5190,"['1a', '9', 'J12']",Pseudomonas stutzeri
7206,DSM 62308,['129'],Fusarium oxysporum
7207,DSM 6131,"['372', 'J59', 'J168']",Haloarcula japonica
7208,DSM 6179,['92'],Staphylococcus xylosus
7209,DSM 24752,['514'],Epibacterium ulvae
7210,DSM 113452,['1611'],Hominilimicola fabiformis
7211,DSM 53512,['9'],Sorangium cellulosum
7212,DSM 30712,['220'],Micrococcus luteus
7213,DSM 5010,"['1', '1a', '54', '90', '535']",Leptographium lundbergii
7214,DSM 21139,['1'],Erwinia tracheiphila
7215,DSM 17043,"['220', '545']",Chromobacterium subtsugae
7216,DSM 28560,"['78', '339']",Extibacter muris
7217,DSM 18065,['514'],Pseudooceanicola nanhaiensis
7218,DSM 20187,['11'],Leuconostoc mesenteroides subsp. dextranicum
7219,DSM 110984,"['693', '840', '1203a']",Brachyspira pilosicoli
7220,DSM 12475,"['113', 'J91']",Thiobacillus denitrificans
7221,DSM 106892,"['339', '1203a', 'J14']",Selenomonas montiformis
7222,DSM 45173,"['65', '553', '656', 'J51']",Luedemannella helvata
7223,DSM 40723,"['65', '84', 'J58', 'J66']",Streptomyces antibioticus
7224,DSM 44435,"['65', '252']",Actinocorallia aurea
7225,DSM 19761,"['215', '693']",Actinobacillus capsulatus
7226,DSM 15966,['90'],Aspergillus fumigatus
7227,DSM 13129,"['1', '428']",Herbaspirillum frisingense
7228,DSM 1132,"['1', '67', '90', '92', '104b', '110', '115', '220', '480a', '535', '573', '641', '645', '693', '830', '1203a', '1611', '1715', 'J13', 'J14', 'J346', 'J739']",Flavobacterium aquatile
7229,DSM 11212,"['90', '92']",Kuehneromyces mutabilis
7230,DSM 15965,['189'],Sarocladium kiliense
7231,DSM 44286,['535'],Corynebacterium propinquum
7232,DSM 24063,"['600a', 'J900']",Rhodopirellula sp.
7233,DSM 44712,"['65', '84', 'J43']",Cryptosporangium arvum
7234,DSM 578,"['1', '73', '186', 'J25', 'J30']",Bacillus sp.
7235,DSM 104108,['215'],Pradoshia sp.
7236,DSM 52398,['9'],Myxococcus xanthus
7237,DSM 108648,"['65', '215', '535', '548', '553', '830']",Actinomadura rhizosphaerae
7238,DSM 40879,"['65', '84']",Streptomyces sp.
7239,DSM 101362,['1673'],Parasynechococcus sp.
7240,DSM 26169,"['535', 'J443']",Pseudomonas toyotomiensis
7241,DSM 104042,['92'],Micrococcus luteus
7242,DSM 20445,"['92', '693', 'J28']",Rothia mucilaginosa
7243,DSM 108657,"['84', '248', '830']",Catenulispora fulva
7244,DSM 46302,"['513', '830']",Clavibacter sepedonicus
7245,DSM 12515,['514'],Micrococcus sp.
7246,DSM 103482,"['90', '129']",Jackrogersella multiformis
7247,DSM 115605,['92'],Pseudomonas aeruginosa
7248,DSM 105892,"['92', '693']",Staphylococcus debuckii
7249,DSM 7182,['215b'],Corynebacterium renale
7250,DSM 41299,"['65', '84']",Streptomyces sp.
7251,DSM 53396,['9'],Sorangium cellulosum
7252,DSM 44697,"['645', 'J26']",Mycobacterium psychrotolerans
7253,DSM 50429,"['1', '220']",Comamonas testosteroni
7254,DSM 2379,['298'],Pelobacter propionicus
7255,DSM 51674,['9'],Corallococcus coralloides
7256,DSM 19020,"['830', '1712']",Aromatoleum toluolicum
7257,DSM 110653,['645'],Mycobacterium senegalense
7258,DSM 22826,"['92', 'J26']",Paeniglutamicibacter cryotolerans
7259,DSM 9537,['504'],Propionigenium maris
7260,DSM 14783,"['935a', 'J324']",Deferribacter desulfuricans
7261,DSM 52150,['9'],Myxococcus stipitatus
7262,DSM 27259,"['830c', 'J346']",Variovorax defluvii
7263,DSM 20682,"['92', '693', 'J156']",Enterococcus cecorum
7264,DSM 108064,['1611'],Lachnospira eligens
7265,DSM 102757,['830'],Sphingomonas sp.
7266,DSM 18852,"['830', '944a', 'J594']",Alicycliphilus denitrificans
7267,DSM 115410,"['92', '693']",Acinetobacter baumannii
7268,DSM 26381,"['220', '545']",Paracoccus siganidrum
7269,DSM 105039,"['220', 'J22']",Acinetobacter puyangensis
7270,DSM 19272,"['830', 'J346']",Pseudolysinimonas kribbensis
7271,DSM 44278,"['535a', '693', 'J256']",Corynebacterium accolens
7272,DSM 63034,['90'],Scopulariopsis coprophila
7273,DSM 11096,"['1', '92', '339a', '462a', '693']",Mycobacterium gilvum
7274,DSM 26117,"['104', '110', '693']",Flavonifractor plautii
7275,DSM 3055,"['90', '220']",Agaricus bisporus
7276,DSM 100061,"['514', 'J118']",Endozoicomonas atrinae
7277,DSM 101609,"['641', 'J1125']",Desulfosporosinus fructosivorans
7278,DSM 106194,"['65', '84', '248']",Streptomyces reniochalinae
7279,DSM 30936,['92'],Staphylococcus epidermidis
7280,DSM 30767,['220'],Enterococcus faecalis
7281,DSM 6608,"['220', '457']",Pseudomonas fluorescens
7282,DSM 23141,"['92', 'J26', 'J475']",Schumannella luteola
7283,DSM 102563,['1'],Acidovorax sp.
7284,DSM 40581,"['65', '84', 'J42']",Streptomyces bikiniensis
7285,DSM 40817,"['65', '84']",Streptomyces griseus subsp. griseus
7286,DSM 12001,"['1', '92', '693']",Bacillus mycoides
7287,DSM 62433,['129'],Fusarium sambucinum var. sambucinum
7288,DSM 102156,['92'],Gulosibacter macacae
7289,DSM 10291,"['65', '84', '194', '514', '535', '545', '554', '960', 'J118']",Desulfovibrio sp.
7290,DSM 115027,"['92', '693']",Acinetobacter radioresistens
7291,DSM 113557,['220'],Bacillus licheniformis
7292,DSM 40488,"['65', 'J42']",Streptomyces sp.
7293,DSM 6076,['1'],Bacillus thuringiensis
7294,DSM 50851,"['1a', '54a']",Xanthomonas campestris
7295,DSM 25975,['1'],Novosphingobium kunmingense
7296,DSM 10334,"['92', '104', '120a', '693', 'J26']",Methanosarcina lacustris
7297,DSM 9673,['215'],Mycobacterium sp.
7298,DSM 43470,"['219', '354', '426']",Mycobacterium phlei
7299,DSM 114573,"['514', '693']",Vibrio sp.
7300,DSM 29130,['830'],Chitinimonas viridis
7301,DSM 41813,"['65', '252']",Streptomyces albidoflavus
7302,DSM 52263,['9'],Myxococcus virescens
7303,DSM 105722,"['104', 'J14', 'J83']",Butyricimonas paravirosa
7304,DSM 52630,['9'],Cystobacter armeniaca
7305,DSM 46471,"['65', '84']",Streptomyces griseus subsp. griseus
7306,DSM 105313,['104'],Veillonella intestinalis
7307,DSM 25808,"['1236', 'J858']",Fervidicella metallireducens
7308,DSM 10749,['381'],Escherichia coli
7309,DSM 19479,['381'],Allorhizobium pseudoryzae
7310,DSM 1444,"['1', '1a', '92', '453', '535', '693', '899', 'J14', 'J26']",Rhodococcus sp.
7311,DSM 113045,"['92', '693']",Micrococcus luteus
7312,DSM 5341,"['9', '90']",Pleurotus citrinopileatus
7313,DSM 46841,['65'],Geodermatophilus bullaregiensis
7314,DSM 20450,"['92', 'J13', 'J84']",Lactococcus lactis subsp. hordniae
7315,DSM 101379,['1592'],Nodularia spumigena
7316,DSM 41341,"['65', '252']",Streptomyces sp.
7317,DSM 102396,['92'],Cellulomonas sp.
7318,DSM 43572,"['65', '535']",Nocardia sp.
7319,DSM 1445,"['1', '92', '383', '453', '535', '956', 'J75']",Rhodococcus sp.
7320,DSM 16049,['11'],Ligilactobacillus saerimneri
7321,DSM 30817,['830'],Paenibacillus sp.
7322,DSM 100745,['1560'],Botrimarina mediterranea
7323,DSM 3568,['189'],Gymnascella citrina
7324,DSM 27532,['186'],Phialosimplex salinarum
7325,DSM 17549,['514'],Bacillus sp.
7326,DSM 62153,['129'],Fusarium aquaeductuum var. medium
7327,DSM 18767,['129'],Rhodotorula psychrophenolica
7328,DSM 43258,['215b'],Nocardia asteroides
7329,DSM 40490,"['65', 'J43', 'J66', 'J81']",Streptomyces sp.
7330,DSM 42068,"['84', '987']",Streptomyces karpasiensis
7331,DSM 100373,['1277a'],Sulfuricaulis limicola
7332,DSM 6593,['129'],Geotrichum candidum
7333,DSM 9664,['220'],Serratia fonticola
7334,DSM 40508,"['65', 'J42']",Streptomyces sp.
7335,DSM 24042,['600a'],Rhodopirellula sp.
7336,DSM 6575,"['1', '51']",Sphaerotilus natans subsp. natans
7337,DSM 3298,['1'],Sphingomonas sp.
7338,DSM 20452,"['11', 'J13', 'J84']",Ligilactobacillus murinus
7339,DSM 15896,"['78', '693', 'J14']",Bacteroides acidifaciens
7340,DSM 12498,['28'],Roseospirillum parvum
7341,DSM 43264,['214'],Nocardia asteroides
7342,DSM 52027,['9'],Myxococcus fulvus
7343,DSM 43592,"['130', '214']",Pseudonocardia compacta
7344,DSM 28101,['514'],Martelella radicis
7345,DSM 51191,['9'],Corallococcus coralloides
7346,DSM 46742,"['65', '553', 'J43']",Actinomadura xylanilytica
7347,DSM 51085,['9'],Corallococcus coralloides
7348,DSM 30799,['220'],Bacillus sp.
7349,DSM 23636,['693'],Psychrobacter sanguinis
7350,DSM 8899,"['220', '465a']",Pseudomonas nitroreducens
7351,DSM 44438,"['65', '83']",Micromonospora aurantiaca
7352,DSM 45921,"['549', '1241', '1535']",Actinopolyspora sp.
7353,DSM 105781,"['92', 'J475']",Brachybacterium ginsengisoli
7354,DSM 109470,['830'],Kyrpidia spormannii
7355,DSM 101620,['1'],Acinetobacter pittii
7356,DSM 2381,"['92', '104', '215', '220', '300', '371', '535', '693', '830', '1004', '1351', 'J27', 'J118', 'J306']",Trichococcus pasteurii
7357,DSM 21887,"['104', '693', '1669', 'J14']",Propionibacterium acidifaciens
7358,DSM 45591,"['535', '553', '1295']",Asanoa sp.
7359,DSM 4501,"['65', '90', '514', '535a', '693', '993', '993c', '1241', '1261', 'J115', 'J569']",Ustilago rabenhorstiana
7360,DSM 51885,['9'],Corallococcus exiguus
7361,DSM 21674,"['92', '535', '830', 'J346']",Aquipuribacter hungaricus
7362,DSM 105122,"['215', '553', '554']",Actinomadura logoneensis
7363,DSM 29425,['830'],Kribbella speibonae
7364,DSM 15152,['967'],Teredinibacter turnerae
7365,DSM 2010,"['11', '53', '58', '65', '535', 'J13', 'J14', 'J19', 'J22', 'J26', 'J27', 'J28', 'J475']",Streptomyces griseus subsp. griseus
7366,DSM 6884,"['220', '528']",Pseudomonas putida
7367,DSM 25224,['585'],Legionella pneumophila subsp. pneumophila
7368,DSM 43418,"['65', '83']",Micromonospora sp.
7369,DSM 43934,['453'],Thermoactinomyces vulgaris
7370,DSM 18599,['10'],Zymomonas mobilis subsp. francensis
7371,DSM 7270,['1'],Acidovorax temperans
7372,DSM 22552,['1076b'],Spiroplasma gladiatoris
7373,DSM 27088,"['92', '693']",Streptococcus oralis subsp. dentisani
7374,DSM 25277,['693'],Neisseria oralis
7375,DSM 24809,['110'],Clostridium sp.
7376,DSM 22316,['381'],Escherichia coli
7377,DSM 100932,['92'],Staphylococcus lugdunensis
7378,DSM 20280,['11'],Pediococcus pentosaceus
7379,DSM 112675,['104'],Prevotella lacticifex
7380,DSM 3695,"['67', 'J22']",Chitinophaga arvensicola
7381,DSM 52284,['9'],Myxococcus virescens
7382,DSM 43852,"['65', '92', 'J22', 'J475']",Oerskovia enterophila
7383,DSM 41771,"['65', '84', '252', 'J42']",Streptomyces yatensis
7384,DSM 21896,['585'],Legionella wadsworthii
7385,DSM 1318,"['1', '104b', '142', 'J1025']",Peribacillus simplex
7386,DSM 29417,['1'],Klebsiella pneumoniae subsp. pneumoniae
7387,DSM 16413,"['1', '220a', '381', '535', '830c']",Sphingobium indicum
7388,DSM 11590,"['7', '790', 'J75']",Novispirillum itersonii subsp. nipponicum
7389,DSM 12219,"['92', '693']",Streptococcus hyovaginalis
7390,DSM 5562,"['1', 'J22']",Aneurinibacillus aneurinilyticus
7391,DSM 28565,['92'],Enterococcus gallinarum
7392,DSM 43138,"['65', '84']",Streptosporangium sp.
7393,DSM 11414,"['220', '465', '514']",Comamonas testosteroni
7394,DSM 24862,"['78', '693', '1203a']",Parabacteroides sp.
7395,DSM 16966,['514'],Thalassobacillus devorans
